Disease,Symptoms,Remedy,Usage
Cough,"Hard stool, bloating","Jamun Seeds, Methi Seeds, Neem Leaves","Jamun seed powder with water, methi overnight water"
Common Cold,"Lower back pain, stiffness","Mulethi (Licorice), Honey, Ginger",Paste application and inhalation
Common Cold,"Lower back pain, stiffness","Vasaka, Tulsi, Ginger",Herbal tea twice daily
Diarrhea,"Itching, redness, inflammation","Giloy, Tulsi, Ginger",Tulsi tea with ginger & honey twice daily
Migraine,"Irregular periods, cramps","Jamun Seeds, Methi Seeds, Neem Leaves",Juice with honey twice daily
Stress,"Loose motion, dehydration","Guggul, Triphala, Honey",Tulsi tea with ginger & honey twice daily
Acidity,"Loose motion, dehydration","Brahmi, Peppermint, Eucalyptus Oil",Herbal tea twice daily
Migraine,"Loose motion, dehydration","Neem, Turmeric, Aloe Vera",Mulethi powder with honey twice daily
Eye Problems,"Breathlessness, chest tightness","Guggul, Triphala, Honey",Mulethi powder with honey twice daily
Back Pain,"Runny nose, sore throat, sneezing, cough","Brahmi, Ashwagandha, Shankhpushpi","Ajwain with warm water after meals, ginger tea"
Common Cold,"Overweight, fatigue","Tulsi, Ginger, Honey, Black Pepper",Herbal tea twice daily
Headache,"Joint pain, swelling","Ajwain, Ginger, Lemon","Ajwain with warm water after meals, ginger tea"
Menstrual Problems,"Burning sensation, chest pain, bloating","Bael Fruit, Pomegranate, Ginger",Paste application and inhalation
Diarrhea,"Burning sensation, chest pain, bloating","Ashoka, Lodhra, Aloe Vera","Neem paste on affected area, turmeric in warm milk"
Asthma,"Runny nose, sore throat, sneezing, cough","Vasaka, Tulsi, Ginger",Giloy juice with water daily
Diabetes,"Severe headache, nausea","Peppermint, Ginger, Coriander",Giloy juice with water daily
Eye Problems,Dry or wet cough,"Mulethi (Licorice), Honey, Ginger","Fennel tea after meals, amla juice"
Diabetes,"Anxiety, restlessness","Bael Fruit, Pomegranate, Ginger","Brahmi tea, peppermint inhalation, eucalyptus oil massage"
Stress,"Hard stool, bloating","Vasaka, Tulsi, Ginger","Ajwain with warm water after meals, ginger tea"
Menstrual Problems,"Itching, redness, inflammation","Triphala, Isabgol, Warm Water",Herbal capsule or tea twice daily
Eye Problems,"Bloating, gas, stomach ache, acidity","Jamun Seeds, Methi Seeds, Neem Leaves",Triphala powder at night with warm water
Arthritis,"High temperature, body pain, weakness","Bael Fruit, Pomegranate, Ginger",Powder with warm water daily
Back Pain,"High temperature, body pain, weakness","Vasaka, Tulsi, Ginger",Oil massage and warm compress
Eye Problems,"Weak roots, dandruff, dryness","Mulethi (Licorice), Honey, Ginger",Mulethi powder with honey twice daily
Eye Problems,"Anxiety, restlessness","Ashwagandha, Turmeric, Ginger","Brahmi tea, peppermint inhalation, eucalyptus oil massage"
Diabetes,"Burning sensation, chest pain, bloating","Peppermint, Ginger, Coriander",Juice or powder in warm water
Indigestion,"Runny nose, sore throat, sneezing, cough","Peppermint, Ginger, Coriander",Juice or powder in warm water
Constipation,"Runny nose, sore throat, sneezing, cough","Brahmi, Ashwagandha, Shankhpushpi",Juice or tea after meals
Headache,"Severe headache, nausea","Peppermint, Ginger, Coriander",Decoction twice daily
Menstrual Problems,"High blood sugar, frequent urination","Brahmi, Ashwagandha, Shankhpushpi",Decoction twice daily
Menstrual Problems,"Joint pain, swelling","Brahmi, Ashwagandha, Shankhpushpi",Herbal tea twice daily
Asthma,"High temperature, body pain, weakness","Ginger Oil, Turmeric, Eucalyptus Oil","Fennel tea after meals, amla juice"
Diabetes,"Lower back pain, stiffness","Ginger Oil, Turmeric, Eucalyptus Oil",Powder with warm water daily
Common Cold,"Hard stool, bloating","Ashoka, Lodhra, Aloe Vera","Neem paste on affected area, turmeric in warm milk"
Constipation,"Blurred vision, eye strain","Bael Fruit, Pomegranate, Ginger","Jamun seed powder with water, methi overnight water"
Headache,"Overweight, fatigue","Guggul, Triphala, Honey",Powder with warm water daily
Stress,"Severe headache, nausea","Neem, Turmeric, Aloe Vera",Oil massage and warm compress
Arthritis,"Irregular periods, cramps","Ajwain, Ginger, Lemon",Juice or tea after meals
Headache,"Anxiety, restlessness","Peppermint, Ginger, Coriander",Powder with warm water daily
Arthritis,"Lower back pain, stiffness","Tulsi, Ginger, Honey, Black Pepper","Fennel tea after meals, amla juice"
Hairfall,"Irregular periods, cramps","Amla, Bhringraj, Coconut Oil",Paste application and inhalation
Menstrual Problems,"Breathlessness, chest tightness","Giloy, Tulsi, Ginger",Decoction twice daily
Constipation,"High blood pressure, headache","Mulethi (Licorice), Honey, Ginger",Decoction twice daily
Hypertension,"Overweight, fatigue","Jamun Seeds, Methi Seeds, Neem Leaves",Juice with honey twice daily
Common Cold,"Bloating, gas, stomach ache, acidity","Neem, Turmeric, Aloe Vera",Herbal tea twice daily
Fever,"Runny nose, sore throat, sneezing, cough","Triphala, Isabgol, Warm Water",Juice or decoction once daily
Hairfall,"Lower back pain, stiffness","Ashwagandha, Turmeric, Ginger","Neem paste on affected area, turmeric in warm milk"
Asthma,"Irregular periods, cramps","Vasaka, Tulsi, Ginger",Paste application and inhalation
Diabetes,"Weak roots, dandruff, dryness","Guggul, Triphala, Honey",Mulethi powder with honey twice daily
Cough,"Lower back pain, stiffness","Triphala, Isabgol, Warm Water",Juice or decoction once daily
Asthma,"Severe headache, nausea","Ajwain, Ginger, Lemon",Triphala powder at night with warm water
Common Cold,"Stress, sinus, tension","Ashwagandha, Turmeric, Ginger",Oil massage and warm compress
Fever,"Bloating, gas, stomach ache, acidity","Mulethi (Licorice), Honey, Ginger",Herbal tea twice daily
Menstrual Problems,"Burning sensation, chest pain, bloating","Bael Fruit, Pomegranate, Ginger",Tulsi tea with ginger & honey twice daily
Cough,"High blood pressure, headache","Giloy, Tulsi, Ginger",Juice or tea after meals
Migraine,"High blood sugar, frequent urination","Ashoka, Lodhra, Aloe Vera",Giloy juice with water daily
Indigestion,Dry or wet cough,"Mulethi (Licorice), Honey, Ginger","Ajwain with warm water after meals, ginger tea"
Cough,"Overweight, fatigue","Neem, Turmeric, Aloe Vera",Triphala powder at night with warm water
Eye Problems,"Lower back pain, stiffness","Amla, Bhringraj, Coconut Oil",Tulsi tea with ginger & honey twice daily
Migraine,"Loose motion, dehydration","Amla, Bhringraj, Coconut Oil",Giloy juice with water daily
Acidity,"High blood pressure, headache","Ginger Oil, Turmeric, Eucalyptus Oil",Decoction twice daily
Hypertension,"Overweight, fatigue","Mulethi (Licorice), Honey, Ginger","Neem paste on affected area, turmeric in warm milk"
Common Cold,"Itching, redness, inflammation","Mulethi (Licorice), Honey, Ginger",Paste application and inhalation
Diabetes,"Overweight, fatigue","Amla, Bhringraj, Coconut Oil",Herbal tea twice daily
Headache,"Bloating, gas, stomach ache, acidity","Guggul, Triphala, Honey","Neem paste on affected area, turmeric in warm milk"
Menstrual Problems,"Itching, redness, inflammation","Giloy, Tulsi, Ginger",Herbal capsule or tea twice daily
Fever,"Irregular periods, cramps","Bael Fruit, Pomegranate, Ginger",Juice or powder in warm water
Asthma,"Anxiety, restlessness","Vasaka, Tulsi, Ginger",Juice or decoction once daily
Acidity,"Blurred vision, eye strain","Peppermint, Ginger, Coriander","Jamun seed powder with water, methi overnight water"
Migraine,"Loose motion, dehydration","Garlic, Arjuna, Amla",Herbal capsule or tea twice daily
Back Pain,Dry or wet cough,"Peppermint, Ginger, Coriander","Brahmi tea, peppermint inhalation, eucalyptus oil massage"
Constipation,"Severe headache, nausea","Garlic, Arjuna, Amla",Herbal capsule or tea twice daily
Diarrhea,"Itching, redness, inflammation","Neem, Turmeric, Aloe Vera",Juice or powder in warm water
Common Cold,"Burning sensation, chest pain, bloating","Jamun Seeds, Methi Seeds, Neem Leaves",Paste application and inhalation
Skin Allergy,"Weak roots, dandruff, dryness","Brahmi, Peppermint, Eucalyptus Oil",Giloy juice with water daily
Eye Problems,"Bloating, gas, stomach ache, acidity","Triphala, Amla, Honey",Powder with warm water daily
Hairfall,"High blood pressure, headache","Ajwain, Ginger, Lemon","Ajwain with warm water after meals, ginger tea"
Diabetes,"High temperature, body pain, weakness","Brahmi, Peppermint, Eucalyptus Oil","Fennel tea after meals, amla juice"
Obesity,"Stress, sinus, tension","Brahmi, Ashwagandha, Shankhpushpi","Neem paste on affected area, turmeric in warm milk"
Asthma,"High temperature, body pain, weakness","Bael Fruit, Pomegranate, Ginger",Giloy juice with water daily
Constipation,Dry or wet cough,"Neem, Turmeric, Aloe Vera",Herbal capsule or tea twice daily
Indigestion,"Irregular periods, cramps","Ajwain, Ginger, Lemon","Ajwain with warm water after meals, ginger tea"
Back Pain,"Loose motion, dehydration","Vasaka, Tulsi, Ginger",Mulethi powder with honey twice daily
Diabetes,"Runny nose, sore throat, sneezing, cough","Amla, Bhringraj, Coconut Oil",Tulsi tea with ginger & honey twice daily
Hairfall,"Bloating, gas, stomach ache, acidity","Ajwain, Ginger, Lemon",Decoction twice daily
Common Cold,"Blurred vision, eye strain","Ashoka, Lodhra, Aloe Vera",Juice or powder in warm water
Indigestion,"Joint pain, swelling","Garlic, Arjuna, Amla",Juice or powder in warm water
Constipation,"Lower back pain, stiffness","Neem, Turmeric, Aloe Vera","Brahmi tea, peppermint inhalation, eucalyptus oil massage"
Asthma,"Lower back pain, stiffness","Jamun Seeds, Methi Seeds, Neem Leaves","Neem paste on affected area, turmeric in warm milk"
Hypertension,"Hard stool, bloating","Vasaka, Tulsi, Ginger",Juice or powder in warm water
Headache,"Irregular periods, cramps","Mulethi (Licorice), Honey, Ginger",Paste application and inhalation
Hairfall,"Stress, sinus, tension","Ajwain, Ginger, Lemon",Herbal tea twice daily
Eye Problems,"Stress, sinus, tension","Vasaka, Tulsi, Ginger",Giloy juice with water daily
Eye Problems,"Lower back pain, stiffness","Triphala, Amla, Honey","Fennel tea after meals, amla juice"
Acidity,"Hard stool, bloating","Ginger Oil, Turmeric, Eucalyptus Oil","Ajwain with warm water after meals, ginger tea"
Diarrhea,"Stress, sinus, tension","Bael Fruit, Pomegranate, Ginger",Juice or powder in warm water
Asthma,"Stress, sinus, tension","Bael Fruit, Pomegranate, Ginger",Giloy juice with water daily
Eye Problems,"Bloating, gas, stomach ache, acidity","Triphala, Isabgol, Warm Water","Ajwain with warm water after meals, ginger tea"
Skin Allergy,Dry or wet cough,"Tulsi, Ginger, Honey, Black Pepper",Powder with warm water daily
Menstrual Problems,"Severe headache, nausea","Garlic, Arjuna, Amla",Tulsi tea with ginger & honey twice daily
Hypertension,"Overweight, fatigue","Garlic, Arjuna, Amla",Oil massage and warm compress
Headache,"Overweight, fatigue","Triphala, Isabgol, Warm Water","Ajwain with warm water after meals, ginger tea"
Diarrhea,"Loose motion, dehydration","Tulsi, Ginger, Honey, Black Pepper",Powder with warm water daily
Back Pain,"Blurred vision, eye strain","Brahmi, Ashwagandha, Shankhpushpi",Oil massage and warm compress
Asthma,"Severe headache, nausea","Peppermint, Ginger, Coriander",Mulethi powder with honey twice daily
Asthma,"Bloating, gas, stomach ache, acidity","Jamun Seeds, Methi Seeds, Neem Leaves",Paste application and inhalation
Migraine,"High blood pressure, headache","Bael Fruit, Pomegranate, Ginger","Brahmi tea, peppermint inhalation, eucalyptus oil massage"
Migraine,"High temperature, body pain, weakness","Amla, Bhringraj, Coconut Oil",Juice with honey twice daily
Headache,"Lower back pain, stiffness","Ajwain, Ginger, Lemon",Herbal capsule or tea twice daily
Fever,"High blood pressure, headache","Ashwagandha, Turmeric, Ginger",Oil massage and warm compress
Migraine,"Overweight, fatigue","Brahmi, Peppermint, Eucalyptus Oil","Fennel tea after meals, amla juice"
Menstrual Problems,"Irregular periods, cramps","Mulethi (Licorice), Honey, Ginger",Decoction twice daily
Back Pain,"Irregular periods, cramps","Brahmi, Peppermint, Eucalyptus Oil",Herbal capsule or tea twice daily
Arthritis,"Breathlessness, chest tightness","Neem, Turmeric, Aloe Vera",Decoction twice daily
Hairfall,"Hard stool, bloating","Triphala, Amla, Honey","Amla juice daily, bhringraj oil scalp massage"
Diarrhea,"Stress, sinus, tension","Garlic, Arjuna, Amla",Juice or powder in warm water
Asthma,"Hard stool, bloating","Peppermint, Ginger, Coriander","Neem paste on affected area, turmeric in warm milk"
Fever,"Overweight, fatigue","Ashoka, Lodhra, Aloe Vera",Herbal tea twice daily
Arthritis,"High blood pressure, headache","Fennel Seeds, Amla, Mint",Tulsi tea with ginger & honey twice daily
Acidity,"High blood sugar, frequent urination","Ashoka, Lodhra, Aloe Vera",Paste application and inhalation
Back Pain,"High blood sugar, frequent urination","Mulethi (Licorice), Honey, Ginger","Neem paste on affected area, turmeric in warm milk"
Constipation,"Burning sensation, chest pain, bloating","Ashwagandha, Turmeric, Ginger","Brahmi tea, peppermint inhalation, eucalyptus oil massage"
Acidity,"Joint pain, swelling","Ginger Oil, Turmeric, Eucalyptus Oil",Powder with warm water daily
Menstrual Problems,"Runny nose, sore throat, sneezing, cough","Fennel Seeds, Amla, Mint","Brahmi tea, peppermint inhalation, eucalyptus oil massage"
Back Pain,"Stress, sinus, tension","Ginger Oil, Turmeric, Eucalyptus Oil",Herbal tea twice daily
Skin Allergy,"Severe headache, nausea","Bael Fruit, Pomegranate, Ginger","Fennel tea after meals, amla juice"
Hypertension,"Hard stool, bloating","Vasaka, Tulsi, Ginger",Decoction twice daily
Diabetes,"Breathlessness, chest tightness","Mulethi (Licorice), Honey, Ginger",Powder with warm water daily
Constipation,"Itching, redness, inflammation","Triphala, Amla, Honey","Jamun seed powder with water, methi overnight water"
Constipation,"High temperature, body pain, weakness","Bael Fruit, Pomegranate, Ginger","Fennel tea after meals, amla juice"
Acidity,"Severe headache, nausea","Tulsi, Ginger, Honey, Black Pepper",Mulethi powder with honey twice daily
Skin Allergy,"Runny nose, sore throat, sneezing, cough","Ashoka, Lodhra, Aloe Vera",Giloy juice with water daily
Headache,"Overweight, fatigue","Ashoka, Lodhra, Aloe Vera","Neem paste on affected area, turmeric in warm milk"
Eye Problems,"Irregular periods, cramps","Vasaka, Tulsi, Ginger","Amla juice daily, bhringraj oil scalp massage"
Constipation,"Bloating, gas, stomach ache, acidity","Guggul, Triphala, Honey",Triphala powder at night with warm water
Back Pain,"High temperature, body pain, weakness","Brahmi, Peppermint, Eucalyptus Oil","Neem paste on affected area, turmeric in warm milk"
Migraine,"High temperature, body pain, weakness","Garlic, Arjuna, Amla",Tulsi tea with ginger & honey twice daily
Eye Problems,"Blurred vision, eye strain","Mulethi (Licorice), Honey, Ginger",Herbal capsule or tea twice daily
Arthritis,"Lower back pain, stiffness","Ashoka, Lodhra, Aloe Vera","Jamun seed powder with water, methi overnight water"
Fever,"Joint pain, swelling","Jamun Seeds, Methi Seeds, Neem Leaves","Neem paste on affected area, turmeric in warm milk"
Acidity,"Breathlessness, chest tightness","Brahmi, Peppermint, Eucalyptus Oil",Oil massage and warm compress
Asthma,"Joint pain, swelling","Tulsi, Ginger, Honey, Black Pepper",Juice or powder in warm water
Headache,"Loose motion, dehydration","Giloy, Tulsi, Ginger","Amla juice daily, bhringraj oil scalp massage"
Stress,"Weak roots, dandruff, dryness","Ashoka, Lodhra, Aloe Vera",Herbal capsule or tea twice daily
Asthma,"High blood sugar, frequent urination","Ajwain, Ginger, Lemon","Brahmi tea, peppermint inhalation, eucalyptus oil massage"
Diarrhea,"Joint pain, swelling","Brahmi, Ashwagandha, Shankhpushpi",Mulethi powder with honey twice daily
Constipation,"Anxiety, restlessness","Peppermint, Ginger, Coriander",Herbal tea twice daily
Stress,"Loose motion, dehydration","Vasaka, Tulsi, Ginger","Fennel tea after meals, amla juice"
Skin Allergy,"High blood pressure, headache","Giloy, Tulsi, Ginger",Juice or decoction once daily
Skin Allergy,"Runny nose, sore throat, sneezing, cough","Amla, Bhringraj, Coconut Oil",Herbal tea twice daily
Menstrual Problems,Dry or wet cough,"Brahmi, Peppermint, Eucalyptus Oil",Oil massage and warm compress
Cough,"Irregular periods, cramps","Giloy, Tulsi, Ginger","Jamun seed powder with water, methi overnight water"
Migraine,"Blurred vision, eye strain","Brahmi, Peppermint, Eucalyptus Oil",Juice or powder in warm water
Headache,"Runny nose, sore throat, sneezing, cough","Neem, Turmeric, Aloe Vera","Amla juice daily, bhringraj oil scalp massage"
Diabetes,"Irregular periods, cramps","Ashwagandha, Turmeric, Ginger","Fennel tea after meals, amla juice"
Cough,"Burning sensation, chest pain, bloating","Ashwagandha, Turmeric, Ginger",Herbal capsule or tea twice daily
Constipation,"Breathlessness, chest tightness","Brahmi, Ashwagandha, Shankhpushpi",Decoction twice daily
Constipation,"Severe headache, nausea","Triphala, Isabgol, Warm Water",Oil massage and warm compress
Hypertension,Dry or wet cough,"Fennel Seeds, Amla, Mint",Mulethi powder with honey twice daily
Skin Allergy,"Burning sensation, chest pain, bloating","Brahmi, Ashwagandha, Shankhpushpi",Juice or powder in warm water
Common Cold,"High temperature, body pain, weakness","Triphala, Amla, Honey",Juice or tea after meals
Hairfall,Dry or wet cough,"Tulsi, Ginger, Honey, Black Pepper",Decoction twice daily
Hairfall,"Burning sensation, chest pain, bloating","Ashwagandha, Turmeric, Ginger",Powder with warm water daily
Common Cold,"Overweight, fatigue","Fennel Seeds, Amla, Mint",Triphala powder at night with warm water
Acidity,"High temperature, body pain, weakness","Brahmi, Peppermint, Eucalyptus Oil",Juice with honey twice daily
Skin Allergy,"Bloating, gas, stomach ache, acidity","Triphala, Isabgol, Warm Water",Mulethi powder with honey twice daily
Headache,Dry or wet cough,"Brahmi, Peppermint, Eucalyptus Oil","Brahmi tea, peppermint inhalation, eucalyptus oil massage"
Menstrual Problems,"Irregular periods, cramps","Vasaka, Tulsi, Ginger",Powder with warm water daily
Eye Problems,"Breathlessness, chest tightness","Amla, Bhringraj, Coconut Oil","Brahmi tea, peppermint inhalation, eucalyptus oil massage"
Constipation,"Weak roots, dandruff, dryness","Fennel Seeds, Amla, Mint",Triphala powder at night with warm water
Skin Allergy,"Joint pain, swelling","Triphala, Isabgol, Warm Water",Mulethi powder with honey twice daily
Common Cold,"Breathlessness, chest tightness","Fennel Seeds, Amla, Mint",Oil massage and warm compress
Arthritis,"High blood sugar, frequent urination","Neem, Turmeric, Aloe Vera","Jamun seed powder with water, methi overnight water"
Stress,Dry or wet cough,"Amla, Bhringraj, Coconut Oil",Mulethi powder with honey twice daily
Common Cold,"High blood pressure, headache","Peppermint, Ginger, Coriander","Amla juice daily, bhringraj oil scalp massage"
Hypertension,"Joint pain, swelling","Triphala, Isabgol, Warm Water",Giloy juice with water daily
Menstrual Problems,"High temperature, body pain, weakness","Peppermint, Ginger, Coriander",Herbal capsule or tea twice daily
Obesity,"Stress, sinus, tension","Ashwagandha, Turmeric, Ginger","Jamun seed powder with water, methi overnight water"
Migraine,"Irregular periods, cramps","Bael Fruit, Pomegranate, Ginger",Mulethi powder with honey twice daily
Cough,"Loose motion, dehydration","Jamun Seeds, Methi Seeds, Neem Leaves",Giloy juice with water daily
Eye Problems,"Burning sensation, chest pain, bloating","Tulsi, Ginger, Honey, Black Pepper",Juice or decoction once daily
Migraine,"Breathlessness, chest tightness","Jamun Seeds, Methi Seeds, Neem Leaves",Paste application and inhalation
Fever,"Breathlessness, chest tightness","Vasaka, Tulsi, Ginger","Amla juice daily, bhringraj oil scalp massage"
Diabetes,"Burning sensation, chest pain, bloating","Triphala, Amla, Honey","Amla juice daily, bhringraj oil scalp massage"
Acidity,"Overweight, fatigue","Garlic, Arjuna, Amla","Fennel tea after meals, amla juice"
Migraine,"Itching, redness, inflammation","Jamun Seeds, Methi Seeds, Neem Leaves",Juice or tea after meals
Arthritis,"Hard stool, bloating","Ginger Oil, Turmeric, Eucalyptus Oil","Neem paste on affected area, turmeric in warm milk"
Stress,"Blurred vision, eye strain","Fennel Seeds, Amla, Mint",Powder with warm water daily
Migraine,"Burning sensation, chest pain, bloating","Ajwain, Ginger, Lemon",Giloy juice with water daily
Menstrual Problems,"Hard stool, bloating","Garlic, Arjuna, Amla",Paste application and inhalation
Hairfall,"Blurred vision, eye strain","Triphala, Isabgol, Warm Water","Jamun seed powder with water, methi overnight water"
Hypertension,"Weak roots, dandruff, dryness","Brahmi, Peppermint, Eucalyptus Oil","Ajwain with warm water after meals, ginger tea"
Back Pain,"Bloating, gas, stomach ache, acidity","Fennel Seeds, Amla, Mint","Brahmi tea, peppermint inhalation, eucalyptus oil massage"
Fever,"Loose motion, dehydration","Giloy, Tulsi, Ginger","Brahmi tea, peppermint inhalation, eucalyptus oil massage"
Arthritis,"Hard stool, bloating","Neem, Turmeric, Aloe Vera",Herbal tea twice daily
Asthma,"Blurred vision, eye strain","Jamun Seeds, Methi Seeds, Neem Leaves",Tulsi tea with ginger & honey twice daily
Stress,"Irregular periods, cramps","Mulethi (Licorice), Honey, Ginger",Powder with warm water daily
Asthma,"Weak roots, dandruff, dryness","Neem, Turmeric, Aloe Vera","Fennel tea after meals, amla juice"
Acidity,"High temperature, body pain, weakness","Triphala, Isabgol, Warm Water",Herbal capsule or tea twice daily
Skin Allergy,"High blood pressure, headache","Ginger Oil, Turmeric, Eucalyptus Oil",Giloy juice with water daily
Asthma,Dry or wet cough,"Triphala, Amla, Honey",Decoction twice daily
Constipation,"Bloating, gas, stomach ache, acidity","Brahmi, Peppermint, Eucalyptus Oil",Paste application and inhalation
Obesity,"Blurred vision, eye strain","Neem, Turmeric, Aloe Vera",Giloy juice with water daily
Acidity,"Loose motion, dehydration","Ginger Oil, Turmeric, Eucalyptus Oil","Brahmi tea, peppermint inhalation, eucalyptus oil massage"
Hypertension,"Weak roots, dandruff, dryness","Giloy, Tulsi, Ginger",Herbal tea twice daily
Arthritis,"Joint pain, swelling","Garlic, Arjuna, Amla","Amla juice daily, bhringraj oil scalp massage"
Asthma,"Overweight, fatigue","Jamun Seeds, Methi Seeds, Neem Leaves",Tulsi tea with ginger & honey twice daily
Common Cold,"Bloating, gas, stomach ache, acidity","Brahmi, Peppermint, Eucalyptus Oil",Decoction twice daily
Headache,"Weak roots, dandruff, dryness","Jamun Seeds, Methi Seeds, Neem Leaves",Decoction twice daily
Menstrual Problems,"Overweight, fatigue","Garlic, Arjuna, Amla",Decoction twice daily
Asthma,"Blurred vision, eye strain","Neem, Turmeric, Aloe Vera",Decoction twice daily
Eye Problems,"High temperature, body pain, weakness","Jamun Seeds, Methi Seeds, Neem Leaves",Juice or decoction once daily
Headache,Dry or wet cough,"Amla, Bhringraj, Coconut Oil",Oil massage and warm compress
Headache,"Loose motion, dehydration","Triphala, Amla, Honey",Giloy juice with water daily
Hypertension,"Lower back pain, stiffness","Bael Fruit, Pomegranate, Ginger",Juice or powder in warm water
Hairfall,"Irregular periods, cramps","Brahmi, Peppermint, Eucalyptus Oil",Herbal tea twice daily
Stress,"Loose motion, dehydration","Ajwain, Ginger, Lemon","Amla juice daily, bhringraj oil scalp massage"
Common Cold,"Burning sensation, chest pain, bloating","Guggul, Triphala, Honey",Tulsi tea with ginger & honey twice daily
Cough,"Breathlessness, chest tightness","Triphala, Amla, Honey","Amla juice daily, bhringraj oil scalp massage"
Stress,"Hard stool, bloating","Bael Fruit, Pomegranate, Ginger","Ajwain with warm water after meals, ginger tea"
Cough,"Weak roots, dandruff, dryness","Tulsi, Ginger, Honey, Black Pepper",Juice or tea after meals
Eye Problems,"Stress, sinus, tension","Triphala, Amla, Honey",Herbal tea twice daily
Diabetes,"Irregular periods, cramps","Giloy, Tulsi, Ginger",Oil massage and warm compress
Constipation,"Burning sensation, chest pain, bloating","Ginger Oil, Turmeric, Eucalyptus Oil","Neem paste on affected area, turmeric in warm milk"
Menstrual Problems,"Lower back pain, stiffness","Triphala, Isabgol, Warm Water",Oil massage and warm compress
Hairfall,"High blood pressure, headache","Brahmi, Ashwagandha, Shankhpushpi","Ajwain with warm water after meals, ginger tea"
Fever,"Lower back pain, stiffness","Ashoka, Lodhra, Aloe Vera",Powder with warm water daily
Hairfall,"Hard stool, bloating","Mulethi (Licorice), Honey, Ginger",Decoction twice daily
Obesity,"Breathlessness, chest tightness","Ashwagandha, Turmeric, Ginger",Juice or powder in warm water
Obesity,"Irregular periods, cramps","Tulsi, Ginger, Honey, Black Pepper",Decoction twice daily
Obesity,"Irregular periods, cramps","Fennel Seeds, Amla, Mint",Juice or tea after meals
Migraine,"Joint pain, swelling","Neem, Turmeric, Aloe Vera","Amla juice daily, bhringraj oil scalp massage"
Stress,"Bloating, gas, stomach ache, acidity","Giloy, Tulsi, Ginger","Brahmi tea, peppermint inhalation, eucalyptus oil massage"
Asthma,"High blood sugar, frequent urination","Guggul, Triphala, Honey",Giloy juice with water daily
Obesity,"Breathlessness, chest tightness","Tulsi, Ginger, Honey, Black Pepper",Juice with honey twice daily
Asthma,"Irregular periods, cramps","Neem, Turmeric, Aloe Vera","Neem paste on affected area, turmeric in warm milk"
Stress,"High temperature, body pain, weakness","Ashwagandha, Turmeric, Ginger",Juice or decoction once daily
Acidity,"Lower back pain, stiffness","Brahmi, Peppermint, Eucalyptus Oil","Brahmi tea, peppermint inhalation, eucalyptus oil massage"
Indigestion,"Blurred vision, eye strain","Jamun Seeds, Methi Seeds, Neem Leaves","Jamun seed powder with water, methi overnight water"
Back Pain,"Runny nose, sore throat, sneezing, cough","Triphala, Isabgol, Warm Water",Tulsi tea with ginger & honey twice daily
Headache,"Runny nose, sore throat, sneezing, cough","Bael Fruit, Pomegranate, Ginger",Juice or tea after meals
Eye Problems,"Lower back pain, stiffness","Jamun Seeds, Methi Seeds, Neem Leaves",Juice with honey twice daily
Stress,Dry or wet cough,"Peppermint, Ginger, Coriander",Juice or powder in warm water
Diarrhea,Dry or wet cough,"Amla, Bhringraj, Coconut Oil",Powder with warm water daily
Constipation,"Breathlessness, chest tightness","Ashwagandha, Turmeric, Ginger","Ajwain with warm water after meals, ginger tea"
Stress,"Lower back pain, stiffness","Triphala, Amla, Honey","Brahmi tea, peppermint inhalation, eucalyptus oil massage"
Indigestion,"Lower back pain, stiffness","Triphala, Amla, Honey",Tulsi tea with ginger & honey twice daily
Constipation,"Itching, redness, inflammation","Peppermint, Ginger, Coriander",Juice with honey twice daily
Eye Problems,"Burning sensation, chest pain, bloating","Guggul, Triphala, Honey",Juice or decoction once daily
Diarrhea,"Burning sensation, chest pain, bloating","Peppermint, Ginger, Coriander","Amla juice daily, bhringraj oil scalp massage"
Headache,"High blood pressure, headache","Brahmi, Ashwagandha, Shankhpushpi",Giloy juice with water daily
Headache,"Burning sensation, chest pain, bloating","Ginger Oil, Turmeric, Eucalyptus Oil","Ajwain with warm water after meals, ginger tea"
Diarrhea,"High temperature, body pain, weakness","Mulethi (Licorice), Honey, Ginger",Herbal capsule or tea twice daily
Headache,"High blood sugar, frequent urination","Garlic, Arjuna, Amla",Powder with warm water daily
Eye Problems,"Runny nose, sore throat, sneezing, cough","Ashoka, Lodhra, Aloe Vera",Tulsi tea with ginger & honey twice daily
Stress,"Stress, sinus, tension","Mulethi (Licorice), Honey, Ginger","Brahmi tea, peppermint inhalation, eucalyptus oil massage"
Constipation,"Hard stool, bloating","Giloy, Tulsi, Ginger",Mulethi powder with honey twice daily
Back Pain,"Severe headache, nausea","Amla, Bhringraj, Coconut Oil",Giloy juice with water daily
Headache,"Overweight, fatigue","Ashwagandha, Turmeric, Ginger",Triphala powder at night with warm water
Arthritis,"Burning sensation, chest pain, bloating","Garlic, Arjuna, Amla",Giloy juice with water daily
Skin Allergy,"Hard stool, bloating","Tulsi, Ginger, Honey, Black Pepper","Amla juice daily, bhringraj oil scalp massage"
Back Pain,"Lower back pain, stiffness","Brahmi, Peppermint, Eucalyptus Oil",Mulethi powder with honey twice daily
Arthritis,"Runny nose, sore throat, sneezing, cough","Neem, Turmeric, Aloe Vera",Decoction twice daily
Obesity,Dry or wet cough,"Bael Fruit, Pomegranate, Ginger",Juice or decoction once daily
